# 《西游：第八十二难》技能定义表 v1
# nature：Physical/Mystic/True；target：Self/SingleEnemy/SingleAlly/AllEnemies/AllAllies/Column/Row/RandomEnemy
# 伤害公式：floor((power + 攻击力 - 防御力*0.5) * 五行倍率 * 破防倍率)，见 Docs/战斗数值-v1.md
id,displayNameKey,descriptionKey,tags,version,power,element,nature,target,spiritCost,cooldownTurns,hitCount,breakDamage,appliedStatusId,statusChance,healPower,vfxKey,animationKey,sfxKey
SKL_BANDIT_LEADER_CLEAVE,skill.bandit.leader_cleave.name,skill.bandit.leader_cleave.desc,enemy;legacy;boss,1,14,Wood,Physical,Column,8,2,1,16,STS_WEAKEN,0.5,0,vfx.bandit.cleave,anim.bandit.cleave,sfx.bandit.cleave
SKL_WOLF_BITE,skill.wolf.bite.name,skill.wolf.bite.desc,enemy;legacy,1,9,Fire,Physical,SingleEnemy,0,1,2,5,,0,0,vfx.wolf.bite,anim.wolf.bite,sfx.wolf.bite
SKL_DRUNK_MONKEY_SWING,skill.drunk_monkey_swing.name,skill.drunk_monkey_swing.desc,enemy;ch01;monkey,1,9,Earth,Physical,SingleEnemy,0,0,1,6,,0,0,vfx.enemy.swing,anim.enemy.swing,sfx.enemy.swing
SKL_STONE_THROW,skill.stone_throw.name,skill.stone_throw.desc,enemy;ch01;monkey,1,11,Metal,Physical,RandomEnemy,0,1,1,4,,0,0,vfx.enemy.throw,anim.enemy.throw,sfx.enemy.throw
SKL_ROTTEN_MIASMA,skill.rotten_miasma.name,skill.rotten_miasma.desc,enemy;ch01;demon,1,6,Wood,Mystic,AllEnemies,0,1,1,4,STS_SWEET_ROT,0.5,0,vfx.enemy.miasma,anim.enemy.miasma,sfx.enemy.miasma
SKL_VINE_BIND,skill.vine_bind.name,skill.vine_bind.desc,enemy;ch01;demon,1,8,Wood,Physical,SingleEnemy,0,1,1,8,STS_STUN,0.35,0,vfx.enemy.vine,anim.enemy.vine,sfx.enemy.vine
SKL_APE_SMASH,skill.ape_smash.name,skill.ape_smash.desc,enemy;ch01;beast,1,12,Earth,Physical,SingleEnemy,0,1,1,10,,0,0,vfx.enemy.smash,anim.enemy.smash,sfx.enemy.smash
SKL_BANQUET_TOAST,skill.banquet_toast.name,skill.banquet_toast.desc,enemy;ch01;monkey,1,7,Earth,Mystic,AllAllies,0,0,1,0,STS_BLESSED,1,10,vfx.enemy.toast,anim.enemy.toast,sfx.enemy.toast
SKL_MONKEY_GRUNT_STAB,skill.monkey_grunt_stab.name,skill.monkey_grunt_stab.desc,enemy;ch01;monkey,1,9,Earth,Physical,SingleEnemy,0,0,1,6,,0,0,vfx.enemy.stab,anim.enemy.stab,sfx.enemy.stab
SKL_BONE_ECHO,skill.bone_echo.name,skill.bone_echo.desc,enemy;ch01;hidden,1,5,None,True,SingleEnemy,0,0,1,4,,0,0,vfx.enemy.echo,anim.enemy.echo,sfx.enemy.echo
SKL_KING_EARTH_FIST,skill.king_earth_fist.name,skill.king_earth_fist.desc,enemy;ch01;boss,1,16,Earth,Physical,SingleEnemy,0,0,1,18,,0,0,vfx.king.fist,anim.king.fist,sfx.king.fist
SKL_KING_ROAR,skill.king_roar.name,skill.king_roar.desc,enemy;ch01;boss,1,12,Earth,Mystic,AllEnemies,0,2,1,14,STS_WEAKEN,0.4,0,vfx.king.roar,anim.king.roar,sfx.king.roar
SKL_KING_RELEASE,skill.king_release.name,skill.king_release.desc,enemy;ch01;boss,1,20,Earth,Mystic,AllEnemies,0,3,1,12,STS_SWEET_ROT,0.35,0,vfx.king.release,anim.king.release,sfx.king.release
SKL_KING_FIFTY_THIRD,skill.king_fifty_third.name,skill.king_fifty_third.desc,enemy;ch01;boss,1,30,Earth,Physical,SingleEnemy,0,2,1,24,,0,0,vfx.king.fifty_third,anim.king.fifty_third,sfx.king.fifty_third
